# dataset=strongs/glosses; lang=eng; source=strongs_gloss(lexicon)+llm_strongs_glosses(llm); license=see resources/strongs/README.md; date=2026-06-20
strong	lemma	gloss	methods	sources
G0241	ἀλλογενής	foreign	lexicon	stepbible
G0242	ἅλλομαι	spring	lexicon	stepbible
G0243	ἄλλος	another	lexicon	stepbible
G0244	ἀλλοτριεπίσκοπος	meddler	lexicon	stepbible
G0245	ἀλλότριος	another’s	lexicon	stepbible
G0246	ἀλλόφυλος	foreign	lexicon	stepbible
G0247	ἄλλως	otherwise	lexicon	stepbible
G0248	ἀλοάω	thresh	lexicon	stepbible
G0249	ἄλογος	unreasonable	lexicon	stepbible
G0250	ἀλόη	aloes	lexicon	stepbible
G0251		salt	lexicon	stepbible
G0252	ἁλυκός	salty	lexicon	stepbible
G0253	ἀλυπότερος	without anxiety	lexicon	stepbible
G0254	ἅλυσις	chain	lexicon	stepbible
G0255	ἀλυσιτελής	unprofitable	lexicon	stepbible
G0256	Ἁλφαῖος	Alphaeus	lexicon	stepbible
G0257	ἅλων	threshing-floor	lexicon	stepbible
G0258	ἀλώπηξ	fox	lexicon	stepbible
G0259	ἅλωσις	capture	lexicon	stepbible
G0260	ἅμα	together	lexicon	stepbible
G0261	ἀμαθής	ignorant	lexicon	stepbible
G0262	ἀμαράντινος	unfading	lexicon	stepbible
G0263	ἀμάραντος	unfading	lexicon	stepbible
G0264	ἁμαρτάνω	sin	lexicon	stepbible
G0265	ἁμάρτημα	sin	lexicon	stepbible
G0266	ἁμαρτία	sin	lexicon	stepbible
G0267	ἀμάρτυρος	without witness	lexicon	stepbible
G0268	ἁμαρτωλός	sinful	lexicon	stepbible
G0269	ἄμαχος	peacable	lexicon	stepbible
G0270	ἀμάω	mow	lexicon	stepbible
G0271	ἀμέθυστος	amethyst	lexicon	stepbible
G0272	ἀμελέω	neglect	lexicon	stepbible
G0273	ἄμεμπτος	blameless	lexicon	stepbible
G0274	ἀμέμπτως	blamelessly	lexicon	stepbible
G0275	ἀμέριμνος	untroubled	lexicon	stepbible
G0276	ἀμετάθετος	unchangeable	lexicon	stepbible
G0277	ἀμετακίνητος	immovable	lexicon	stepbible
G0278	ἀμεταμέλητος	irrevocable	lexicon	stepbible
G0279	ἀμετανόητος	unrepentant	lexicon	stepbible
G0280	ἄμετρος	immoderate	lexicon	stepbible
G0281	ἀμήν	amen	lexicon	stepbible
G0282	ἀμήτωρ	motherless	lexicon	stepbible
G0283	ἀμίαντος	pure	lexicon	stepbible
G0284	Ἀμιναδάβ	Amminadab	lexicon	stepbible
G0285	ἄμμος	sand	lexicon	stepbible
G0286	ἀμνός	lamb	lexicon	stepbible
G0287	ἀμοιβή	repayment	lexicon	stepbible
G0288	ἄμπελος	vine	lexicon	stepbible
G0289	ἀμπελουργός	vine-worker	lexicon	stepbible
G0290	ἀμπελών	vineyard	lexicon	stepbible
G0291	Ἀμπλιᾶτος	Ampliatus	lexicon	stepbible
G0292	ἀμφιβάλλω	defend	lexicon	stepbible
G0293	ἀμφίβληστρον	net	lexicon	stepbible
G0294	ἀμφιέννυμι	clothe	lexicon	stepbible
G0295	Ἀμφίπολις	Amphipolis	lexicon	stepbible
G0296	ἄμφοδον	street	lexicon	stepbible
G0297	ἀμφοτερός	both	lexicon	stepbible
G0298	ἀμώμητος	blameless	lexicon	stepbible
G0299	ἄμωμος	blameless	lexicon	stepbible
G0300		Amos	lexicon	stepbible
G0301	Ἀμώς	Amos	lexicon	stepbible
G0302	ἄν	if	lexicon	stepbible
G0303	ἀνά	each	lexicon	stepbible
G0304	ἀναβαθμός	stairs	lexicon	stepbible
G0305	ἀναβαίνω	ascend	lexicon	stepbible
G0306	ἀναβάλλω	defer	lexicon	stepbible
G0307	ἀναβιβάζω	pull up	lexicon	stepbible
G0308	ἀναβλέπω	look up	lexicon	stepbible
G0309	ἀνάβλεψις	recovery of sight	lexicon	stepbible
G0310	ἀναβοάω	cry out	lexicon	stepbible
G0311	ἀναβολή	delay	lexicon	stepbible
G0312	ἀναγγέλλω	report	lexicon	stepbible
G0313	ἀναγεννάω	beget	lexicon	stepbible
G0314	ἀναγινώσκω	read	lexicon	stepbible
G0315	ἀναγκάζω	compel	lexicon	stepbible
G0316	ἀναγκαῖος	necessary	lexicon	stepbible
G0317	ἀναγκαστῶς	necessarily	lexicon	stepbible
G0318	ἀνάγκη	necessity	lexicon	stepbible
G0319	ἀναγνωρίζω	recognize	lexicon	stepbible
G0320	ἀνάγνωσις	reading	lexicon	stepbible
G0321	ἀνάγω	lead	lexicon	stepbible
G0322	ἀναδείκνυμι	appoint	lexicon	stepbible
G0323	ἀνάδειξις	public appearance	lexicon	stepbible
G0324	ἀναδέχομαι	receive	lexicon	stepbible
G0325	ἀναδίδωμι	deliver	lexicon	stepbible
G0326	ἀναζάω	revive	lexicon	stepbible
G0327	ἀναζητέω	search	lexicon	stepbible
G0328	ἀναζώννυμι	gird	lexicon	stepbible
G0329	ἀναζωπυρέω	rekindle	lexicon	stepbible
G0330	ἀναθάλλω	renew	lexicon	stepbible
G0331	ἀνάθεμα	devoted	lexicon	stepbible
